Time,jersey_number,TeamA_Goals,TeamB_Goals,Team,numberGoals
0,13,0,0,B, 
1,19,0,0, , 
2,16,0,0, , 
3,14,0,0, , 
4,5,0,1, , 
5,3,0,1, , 
6,13,0,1, , 
7,2,0,1, , 
8,16,0,1, , 
9,5,0,2, , 
10,17,0,2, , 
11,8,0,2, , 
12,5,0,2, , 
13,6,0,2, , 
14,4,0,2, , 
15,18,0,2, , 
16,12,0,2, , 
17,13,0,2, , 
18,7,0,2, , 
19,8,0,2, , 
20,12,0,2, , 
21,13,0,2, , 
22,4,0,2, , 
23,9,0,2, , 
24,3,0,2, , 
25,5,0,2, , 
26,6,0,2, , 
27,22,0,2, , 
28,18,0,2, , 
29,3,0,2, , 
30,12,0,2, , 
31,3,0,2, , 
32,12,0,2, , 
33,12,0,2, , 
34,12,0,2, , 
35,13,0,2, , 
36,20,0,2, , 
37,11,0,2, , 
38,14,0,2, , 
39,14,0,2, , 
40,6,0,2, , 
41,21,0,2, , 
42,15,0,2, , 
43,12,1,2, , 
44,5,1,3, , 
45,12,1,3, , 
46,12,2,3, , 
47,1,2,3, , 
48,14,2,3, , 
49,14,2,3, , 
50,5,2,3, , 
51,3,3,3, , 
52,20,3,3, , 
53,1,3,3, , 
54,14,3,3, , 
55,14,3,3, , 
56,6,3,3, , 
57,4,3,3, , 
58,10,3,3, , 
59,3,4,3, , 
60,1,4,3, , 
61,5,4,3, , 
62,5,4,3, , 
63,5,4,4, , 
64,10,4,4, , 
65,3,4,4, , 
66,3,4,4, , 
67,12,4,4, , 
68,3,4,4, , 
69,5,4,4, , 
70,5,4,4, , 
71,5,4,4, , 
72,5,4,4, , 
73,5,4,4, , 
74,3,4,4, , 
75,12,4,4, , 
76,13,4,4, , 
77,20,4,4, , 
78,18,4,4, , 
79,3,4,4, , 
80,3,4,4, , 
81,3,5,4, , 
82,5,5,5, , 
83,10,5,5, , 
84,5,5,6, , 
85,12,5,6, , 
86,3,5,6, , 
87,3,5,6, , 
88,3,5,6, , 
89,13,5,6, , 
90,4,5,6, , 
91,15,5,6, , 
92,3,5,6, , 
93,3,5,6, , 
94,13,5,6, , 
95,2,5,6, , 
96,11,5,6, , 
97,5,5,7, , 
98,4,5,7, , 
99,18,5,7, , 
100,12,5,7, , 
101,3,6,7, , 
102,2,6,7, , 
103,1,6,7, , 
104,5,6,7, , 
105,14,6,7, , 
106,6,6,7, , 
107,21,6,7, , 
108,9,6,7, , 
109,3,6,7, , 
110,13,6,7, , 
111,19,6,7, , 
112,9,6,7, , 
113,3,6,7, , 
114,12,6,7, , 
115,3,6,7, , 
116,12,6,7, , 
117,3,6,7, , 
118,13,6,7, , 
119,20,6,7, , 
120,11,6,7, , 
121,5,6,8, , 
122,4,6,8, , 
123,18,6,8, , 
124,12,7,8, , 
125,7,7,8, , 
126,11,7,8, , 
127,5,7,8, , 
128,14,7,8, , 
129,6,7,8, , 
130,17,7,8, , 
131,8,7,8, , 
132,5,7,8, , 
133,14,7,8, , 
134,14,7,8, , 
135,5,7,9, , 
136,18,7,9, , 
137,5,7,9, , 
138,5,7,9, , 
139,14,7,9, , 
140,14,7,9, , 
141,5,7,10, , 
142,21,7,10, , 
143,9,7,10, , 
144,12,7,10, , 
145,14,7,11, , 
146,9,7,11, , 
147,3,8,11, , 
148,5,8,12, , 
149,17,8,12, , 
150,18,8,12, , 
151,3,9,12, , 
152,5,9,12, , 
153,6,9,12, , 
154,21,9,12, , 
155,8,9,12, , 
156,5,9,12, , 
157,6,9,12, , 
158,21,9,12, , 
159,10,9,12, , 
160,5,9,13, , 
161,15,9,13, , 
162,12,9,13, , 
163,3,9,13, , 
164,12,9,13, , 
165,13,9,13, , 
166,19,9,13, , 
167,1,9,13, , 
168,5,9,13, , 
169,14,9,13, , 
170,14,9,13, , 
171,5,9,14, , 
172,4,9,14, , 
173,15,9,14, , 
174,3,10,14, , 
175,2,10,14, , 
176,8,10,14, , 
177,14,10,14, , 
178,6,10,14, , 
179,17,10,14, , 
180,9,10,14, , 
181,12,10,14, , 
182,13,10,14, , 
183,7,10,14, , 
184,11,10,14, , 
185,14,10,14, , 
186,5,10,15, , 
187,3,11,15, , 
188,11,11,15, , 
189,14,11,15, , 
190,6,11,15, , 
191,21,11,15, , 
192,18,11,15, , 
193,3,11,15, , 
194,12,11,15, , 
195,12,11,15, , 
196,13,11,15, , 
197,7,11,15, , 
198,8,11,15, , 
199,14,11,16, , 
200,10,11,16, , 
201,12,11,16, , 
202,13,11,16, , 
203,7,11,16, , 
204,1,11,16, , 
205,5,11,17, , 
206,22,11,17, , 
207,15,11,17, , 
208,12,12,17, , 
209,19,12,17, , 
210,16,12,17, , 
211,14,12,17, , 
212,5,12,18, , 
213,12,12,18, , 
214,12,12,18, , 
215,12,12,18, , 
216,13,12,18, , 
217,20,12,18, , 
218,11,12,18, , 
219,14,12,18, , 
220,6,12,18, , 
221,22,12,18, , 
222,18,12,18, , 
223,3,13,18, , 
224,2,13,18, , 
225,11,13,18, , 
226,5,13,18, , 
227,14,13,18, , 
228,6,13,18, , 
229,22,13,18, , 
230,18,13,18, , 
231,12,13,18, , 
232,13,13,18, , 
233,2,13,18, , 
234,11,13,18, , 
235,5,13,18, , 
236,5,13,19, , 
237,18,13,19, , 
238,3,13,19, , 
239,12,13,19, , 
240,13,13,19, , 
241,19,13,19, , 
242,16,13,19, , 
243,14,13,19, , 
244,6,13,19, , 
245,21,13,19, , 
246,10,13,19, , 
247,12,13,19, , 
248,5,13,20, , 
249,10,13,20, , 
250,12,13,20, , 
251,3,14,20, , 
252,11,14,20, , 
253,5,14,20, , 
254,14,14,20, , 
255,5,14,20, , 
256,6,14,20, , 
257,17,14,20, , 
258,15,14,20, , 
259,5,14,21, , 
260,12,14,21, , 
261,13,14,21, , 
262,19,14,21, , 
263,1,14,21, , 
264,3,14,21, , 
265,3,15,21, , 
266,1,15,21, , 
267,14,15,21, , 
268,14,15,22, , 
269,10,15,22, , 
270,14,15,22, , 
271,5,15,23, , 
272,12,15,23, , 
273,13,15,23, , 
274,7,15,23, , 
275,11,15,23, , 
276,12,15,23, , 
277,13,15,23, , 
278,2,15,23, , 
279,8,15,23, , 
280,5,15,23, , 
281,14,15,23, , 
282,6,15,23, , 
283,17,15,23, , 
284,18,15,23, , 
285,12,15,23, , 
286,13,15,23, , 
287,17,15,23, , 
288,10,15,23, , 
289,12,15,23, , 
290,13,15,23, , 
291,7,15,23, , 
292,1,15,23, , 
293,14,15,23, , 
294,5,15,24, , 
295,15,15,24, , 
296,3,15,24, , 
297,3,15,24, , 
298,3,16,24, , 
299,14,16,24, , 
300,6,16,24, , 
301,4,16,24, , 
302,18,16,24, , 
303,12,16,24, , 
304,3,16,24, , 
305,3,16,24, , 
306,3,17,24, , 
307,1,17,24, , 
308,12,17,24, , 
309,12,17,24, , 
310,3,17,24, , 
311,3,18,24, , 
312,7,18,24, , 
313,11,18,24, , 
314,5,18,24, , 
315,12,18,24, , 
316,12,18,24, , 
317,13,18,24, , 
318,2,18,24, , 
319,16,18,24, , 
320,5,18,25, , 
321,10,18,25, , 
322,12,18,25, , 
323,12,18,25, , 
324,13,18,25, , 
325,19,18,25, , 
326,1,18,25, , 
327,14,18,25, , 
328,5,18,25, , 
329,5,18,26, , 
330,21,18,26, , 
331,18,18,26, , 
332,3,18,26, , 
333,5,18,27, , 
334,3,19,27, , 
335,8,19,27, , 
336,5,19,28, , 
337,21,19,28, , 
338,15,19,28, , 
339,12,19,28, , 
340,12,19,28, , 
341,13,19,28, , 
342,20,19,28, , 
343,18,19,28, , 
344,12,19,28, , 
