Time,jersey_number,TeamA_Goals,TeamB_Goals,Team,numberGoals
0,13,0,0,A, 
1,19,0,0,B, 
2,16,0,0,B, 
3,14,0,0,B, 
4,5,0,1,B, 
5,3,0,1,A, 
6,13,0,1,A, 
7,2,0,1,B, 
8,16,0,1,B, 
9,5,0,2,B, 
10,17,0,2,B, 
11,8,0,2,B, 
12,5,0,2,B, 
13,6,0,2,B, 
14,4,0,2,B, 
15,18,0,2,B, 
16,12,0,2,A, 
17,13,0,2,A, 
18,7,0,2,B, 
19,8,0,2,B, 
20,12,0,2,A, 
21,13,0,2,A, 
22,4,0,2,B, 
23,9,0,2,B, 
24,3,0,2,A, 
25,5,0,2,B, 
26,6,0,2,B, 
27,22,0,2,B, 
28,18,0,2,B, 
29,3,0,2,A, 
30,12,0,2,A, 
31,3,0,2,A, 
32,12,0,2,A, 
33,12,0,2,A, 
34,12,0,2,A, 
35,13,0,2,A, 
36,20,0,2,B, 
37,11,0,2,B, 
38,14,0,2,B, 
39,14,0,2,B, 
40,6,0,2,B, 
41,21,0,2,B, 
42,15,0,2,B, 
43,12,1,2,A, 
44,5,1,3,B, 
45,12,1,3,A, 
46,12,2,3,A, 
47,1,2,3,B, 
48,14,2,3,B, 
49,14,2,3,B, 
50,5,2,3,B, 
51,3,3,3,A, 
52,20,3,3,B, 
53,1,3,3,B, 
54,14,3,3,B, 
55,14,3,3,B, 
56,6,3,3,B, 
57,4,3,3,B, 
58,10,3,3,B, 
59,3,4,3,A, 
60,1,4,3,B, 
61,5,4,3,B, 
62,5,4,3,B, 
63,5,4,4,B, 
64,10,4,4,B, 
65,3,4,4,A, 
66,3,4,4,A, 
67,12,4,4,A, 
68,3,4,4,A, 
69,5,4,4,B, 
70,5,4,4,B, 
71,5,4,4,B, 
72,5,4,4,B, 
73,5,4,4,B, 
74,3,4,4,A, 
75,12,4,4,A, 
76,13,4,4,A, 
77,20,4,4,B, 
78,18,4,4,B, 
79,3,4,4,A, 
80,3,4,4,A, 
81,3,5,4,A, 
82,5,5,5,B, 
83,10,5,5,B, 
84,5,5,6,B, 
85,12,5,6,A, 
86,3,5,6,A, 
87,3,5,6,A, 
88,3,5,6,A, 
89,13,5,6,A, 
90,4,5,6,B, 
91,15,5,6,B, 
92,3,5,6,A, 
93,3,5,6,A, 
94,13,5,6,A, 
95,2,5,6,B, 
96,11,5,6,B, 
97,5,5,7,B, 
98,4,5,7,B, 
99,18,5,7,B, 
100,12,5,7,A, 
101,3,6,7,A, 
102,2,6,7,B, 
103,1,6,7,B, 
104,5,6,7,B, 
105,14,6,7,B, 
106,6,6,7,B, 
107,21,6,7,B, 
108,9,6,7,B, 
109,3,6,7,A, 
110,13,6,7,A, 
111,19,6,7,B, 
112,9,6,7,B, 
113,3,6,7,A, 
114,12,6,7,A, 
115,3,6,7,A, 
116,12,6,7,A, 
117,3,6,7,A, 
118,13,6,7,A, 
119,20,6,7,B, 
120,11,6,7,B, 
121,5,6,8,B, 
122,4,6,8,B, 
123,18,6,8,B, 
124,12,7,8,A, 
125,7,7,8,B, 
126,11,7,8,B, 
127,5,7,8,B, 
128,14,7,8,B, 
129,6,7,8,B, 
130,17,7,8,B, 
131,8,7,8,B, 
132,5,7,8,B, 
133,14,7,8,B, 
134,14,7,8,B, 
135,5,7,9,B, 
136,18,7,9,B, 
137,5,7,9,B, 
138,5,7,9,B, 
139,14,7,9,B, 
140,14,7,9,B, 
141,5,7,10,B, 
142,21,7,10,B, 
143,9,7,10,B, 
144,12,7,10,A, 
145,14,7,11,B, 
146,9,7,11,B, 
147,3,8,11,A, 
148,5,8,12,B, 
149,17,8,12,B, 
150,18,8,12,B, 
151,3,9,12,A, 
152,5,9,12,B, 
153,6,9,12,B, 
154,21,9,12,B, 
155,8,9,12,B, 
156,5,9,12,B, 
157,6,9,12,B, 
158,21,9,12,B, 
159,10,9,12,B, 
160,5,9,13,B, 
161,15,9,13,B, 
162,12,9,13,A, 
163,3,9,13,A, 
164,12,9,13,A, 
165,13,9,13,A, 
166,19,9,13,B, 
167,1,9,13,B, 
168,5,9,13,B, 
169,14,9,13,B, 
170,14,9,13,B, 
171,5,9,14,B, 
172,4,9,14,B, 
173,15,9,14,B, 
174,3,10,14,A, 
175,2,10,14,B, 
176,8,10,14,B, 
177,14,10,14,B, 
178,6,10,14,B, 
179,17,10,14,B, 
180,9,10,14,B, 
181,12,10,14,A, 
182,13,10,14,A, 
183,7,10,14,B, 
184,11,10,14,B, 
185,14,10,14,B, 
186,5,10,15,B, 
187,3,11,15,A, 
188,11,11,15,B, 
189,14,11,15,B, 
190,6,11,15,B, 
191,21,11,15,B, 
192,18,11,15,B, 
193,3,11,15,A, 
194,12,11,15,A, 
195,12,11,15,A, 
196,13,11,15,A, 
197,7,11,15,B, 
198,8,11,15,B, 
199,14,11,16,B, 
200,10,11,16,B, 
201,12,11,16,A, 
202,13,11,16,A, 
203,7,11,16,B, 
204,1,11,16,B, 
205,5,11,17,B, 
206,22,11,17,B, 
207,15,11,17,B, 
208,12,12,17,A, 
209,19,12,17,B, 
210,16,12,17,B, 
211,14,12,17,B, 
212,5,12,18,B, 
213,12,12,18,A, 
214,12,12,18,A, 
215,12,12,18,A, 
216,13,12,18,A, 
217,20,12,18,B, 
218,11,12,18,B, 
219,14,12,18,B, 
220,6,12,18,B, 
221,22,12,18,B, 
222,18,12,18,B, 
223,3,13,18,A, 
224,2,13,18,B, 
225,11,13,18,B, 
226,5,13,18,B, 
227,14,13,18,B, 
228,6,13,18,B, 
229,22,13,18,B, 
230,18,13,18,B, 
231,12,13,18,A, 
232,13,13,18,A, 
233,2,13,18,B, 
234,11,13,18,B, 
235,5,13,18,B, 
236,5,13,19,B, 
237,18,13,19,B, 
238,3,13,19,A, 
239,12,13,19,A, 
240,13,13,19,A, 
241,19,13,19,B, 
242,16,13,19,B, 
243,14,13,19,B, 
244,6,13,19,B, 
245,21,13,19,B, 
246,10,13,19,B, 
247,12,13,19,A, 
248,5,13,20,B, 
249,10,13,20,B, 
250,12,13,20,A, 
251,3,14,20,A, 
252,11,14,20,B, 
253,5,14,20,B, 
254,14,14,20,B, 
255,5,14,20,B, 
256,6,14,20,B, 
257,17,14,20,B, 
258,15,14,20,B, 
259,5,14,21,B, 
260,12,14,21,A, 
261,13,14,21,A, 
262,19,14,21,B, 
263,1,14,21,B, 
264,3,14,21,A, 
265,3,15,21,A, 
266,1,15,21,B, 
267,14,15,21,B, 
268,14,15,22,B, 
269,10,15,22,B, 
270,14,15,22,B, 
271,5,15,23,B, 
272,12,15,23,A, 
273,13,15,23,A, 
274,7,15,23,B, 
275,11,15,23,B, 
276,12,15,23,A, 
277,13,15,23,A, 
278,2,15,23,B, 
279,8,15,23,B, 
280,5,15,23,B, 
281,14,15,23,B, 
282,6,15,23,B, 
283,17,15,23,B, 
284,18,15,23,B, 
285,12,15,23,A, 
286,13,15,23,A, 
287,17,15,23,B, 
288,10,15,23,B, 
289,12,15,23,A, 
290,13,15,23,A, 
291,7,15,23,B, 
292,1,15,23,B, 
293,14,15,23,B, 
294,5,15,24,B, 
295,15,15,24,B, 
296,3,15,24,A, 
297,3,15,24,A, 
298,3,16,24,A, 
299,14,16,24,B, 
300,6,16,24,B, 
301,4,16,24,B, 
302,18,16,24,B, 
303,12,16,24,A, 
304,3,16,24,A, 
305,3,16,24,A, 
306,3,17,24,A, 
307,1,17,24,B, 
308,12,17,24,A, 
309,12,17,24,A, 
310,3,17,24,A, 
311,3,18,24,A, 
312,7,18,24,B, 
313,11,18,24,B, 
314,5,18,24,B, 
315,12,18,24,A, 
316,12,18,24,A, 
317,13,18,24,A, 
318,2,18,24,B, 
319,16,18,24,B, 
320,5,18,25,B, 
321,10,18,25,B, 
322,12,18,25,A, 
323,12,18,25,A, 
324,13,18,25,A, 
325,19,18,25,B, 
326,1,18,25,B, 
327,14,18,25,B, 
328,5,18,25,B, 
329,5,18,26,B, 
330,21,18,26,B, 
331,18,18,26,B, 
332,3,18,26,A, 
333,5,18,27,B, 
334,3,19,27,A, 
335,8,19,27,B, 
336,5,19,28,B, 
337,21,19,28,B, 
338,15,19,28,B, 
339,12,19,28,A, 
340,12,19,28,A, 
341,13,19,28,A, 
342,20,19,28,B, 
343,18,19,28,B, 
344,12,19,28,A, 
345,13,19,28,A, 
346,17,19,28,B, 
347,15,19,28,B, 
348,3,19,28,A, 
349,12,19,28,A, 
350,12,19,28,A, 
351,13,19,28,A, 
352,7,19,28,B, 
353,11,19,28,B, 
354,5,19,29,B, 
355,4,19,29,B, 
356,18,19,29,B, 
357,12,20,29,A, 
358,1,20,29,B, 
359,14,20,29,B, 
360,5,20,29,B, 
361,5,20,29,B, 
362,14,20,29,B, 
363,6,20,29,B, 
364,17,20,29,B, 
365,15,20,29,B, 
366,12,20,29,A, 
367,13,20,29,A, 
368,20,20,29,B, 
369,8,20,29,B, 
370,14,20,29,B, 
371,5,20,30,B, 
372,22,20,30,B, 
373,18,20,30,B, 
374,12,20,30,A, 
375,3,20,30,A, 
376,13,20,30,A, 
377,4,20,30,B, 
378,10,20,30,B, 
379,5,20,31,B, 
380,9,20,31,B, 
381,12,20,31,A, 
382,13,20,31,A, 
383,19,20,31,B, 
384,16,20,31,B, 
385,5,20,32,B, 
386,21,20,32,B, 
387,10,20,32,B, 
388,3,21,32,A, 
389,7,21,32,B, 
390,11,21,32,B, 
391,3,22,32,A, 
392,20,22,32,B, 
393,11,22,32,B, 
394,14,22,32,B, 
395,6,22,32,B, 
396,17,22,32,B, 
397,10,22,32,B, 
398,3,22,32,A, 
399,12,22,32,A, 
400,12,22,32,A, 
401,12,22,32,A, 
402,13,22,32,A, 
403,2,22,32,B, 
404,16,22,32,B, 
405,14,22,32,B, 
406,5,22,33,B, 
407,18,22,33,B, 
408,3,22,33,A, 
409,3,22,33,A, 
410,13,22,33,A, 
411,19,22,33,B, 
412,9,22,33,B, 
413,3,22,33,A, 
414,13,22,33,A, 
415,20,22,33,B, 
416,8,22,33,B, 
417,5,22,34,B, 
418,21,22,34,B, 
419,9,22,34,B, 
420,12,22,34,A, 
421,13,22,34,A, 
422,7,22,34,B, 
423,11,22,34,B, 
424,14,22,34,B, 
425,5,22,34,B, 
426,14,22,34,B, 
427,6,22,34,B, 
428,21,22,34,B, 
429,9,22,34,B, 
430,3,22,34,A, 
431,13,22,34,A, 
432,19,22,34,B, 
433,1,22,34,B, 
434,14,22,34,B, 
435,5,22,34,B, 
436,6,22,34,B, 
437,4,22,34,B, 
438,15,22,34,B, 
439,12,22,34,A, 
440,12,22,34,A, 
441,13,22,34,A, 
442,19,22,34,B, 
443,16,22,34,B, 
444,14,22,34,B, 
445,6,22,34,B, 
446,17,22,34,B, 
447,10,22,34,B, 
448,3,23,34,A, 
449,5,23,35,B, 
450,12,23,35,A, 
451,12,23,35,A, 
452,13,23,35,A, 
453,7,23,35,B, 
454,18,23,35,B, 
455,12,23,35,A, 
456,12,23,35,A, 
457,13,23,35,A, 
458,19,23,35,B, 
459,11,23,35,B, 
460,14,23,35,B, 
461,5,23,35,B, 
462,14,23,35,B, 
463,3,23,35,A, 
464,14,23,36,B, 
465,17,23,36,B, 
466,10,23,36,B, 
467,3,23,36,A, 
468,13,23,36,A, 
469,2,23,36,B, 
470,16,23,36,B, 
471,5,23,36,B, 
472,12,23,36,A, 
473,5,23,36,B, 
474,14,23,37,B, 
475,9,23,37,B, 
476,14,23,37,B, 
477,6,23,37,B, 
478,4,23,37,B, 
479,15,23,37,B, 
480,3,23,37,A, 
481,3,24,37,A, 
482,1,24,37,B, 
483,5,24,37,B, 
484,14,24,37,B, 
485,5,24,37,B, 
486,14,24,37,B, 
487,6,24,37,B, 
488,17,24,37,B, 
489,10,24,37,B, 
490,12,24,37,A, 
491,12,24,37,A, 
492,12,24,37,A, 
493,3,25,37,A, 
494,16,25,37,B, 
495,12,25,37,A, 
496,13,25,37,A, 
497,7,25,37,B, 
498,18,25,37,B, 
499,3,25,37,A, 
500,12,25,37,A, 
501,13,25,37,A, 
502,20,25,37,B, 
503,18,25,37,B, 
504,5,25,37,B, 
505,6,25,37,B, 
506,22,25,37,B, 
507,9,25,37,B, 
508,3,26,37,A, 
509,8,26,37,B, 
510,5,26,38,B, 
511,18,26,38,B, 
512,12,26,38,A, 
513,12,26,38,A, 
514,3,26,38,A, 
515,3,27,38,A, 
516,1,27,38,B, 
517,5,27,39,B, 
518,22,27,39,B, 
519,18,27,39,B, 
520,3,27,39,A, 
521,13,27,39,A, 
522,22,27,39,B, 
523,9,27,39,B, 
