Time,jersey_number,TeamA_Goals,TeamB_Goals,Team,numberGoals
0,13,0,0,B,0
1,19,0,0,B,0
2,16,0,0,B,0
3,14,0,0,B,0
4,5,0,1,B,1
5,3,0,1,A,0
6,13,0,1,B,1
7,2,0,1,B,1
8,16,0,1,B,1
9,5,0,2,B,1
10,17,0,2,A,0
11,8,0,2,B,1
12,5,0,2,B,1
13,6,0,2,A,0
14,4,0,2,A,0
15,18,0,2,A,0
16,12,0,2,A,0
17,13,0,2,B,1
18,7,0,2,B,1
19,8,0,2,B,1
20,12,0,2,A,0
21,13,0,2,B,1
22,4,0,2,A,0
23,9,0,2,A,0
24,3,0,2,A,0
25,5,0,2,B,1
26,6,0,2,A,0
27,22,0,2,A,0
28,18,0,2,A,0
29,3,0,2,A,0
30,12,0,2,A,0
31,3,0,2,A,0
32,12,0,2,A,0
33,12,0,2,A,0
34,12,0,2,A,0
35,13,0,2,B,1
36,20,0,2,B,1
37,11,0,2,B,1
38,14,0,2,B,1
39,14,0,2,B,1
40,6,0,2,A,0
41,21,0,2,A,0
42,15,0,2,A,0
43,12,1,2,A,1
44,5,1,3,B,1
45,12,1,3,A,1
46,12,2,3,A,1
47,1,2,3,B,1
48,14,2,3,B,1
49,14,2,3,B,1
50,5,2,3,B,1
51,3,3,3,A,1
52,20,3,3,B,1
53,1,3,3,B,1
54,14,3,3,B,1
55,14,3,3,B,1
56,6,3,3,A,1
57,4,3,3,A,1
58,10,3,3,A,1
59,3,4,3,A,1
60,1,4,3,B,1
61,5,4,3,B,1
62,5,4,3,B,1
63,5,4,4,B,1
64,10,4,4,A,1
65,3,4,4,A,1
66,3,4,4,A,1
67,12,4,4,A,1
68,3,4,4,A,1
69,5,4,4,B,1
70,5,4,4,B,1
71,5,4,4,B,1
72,5,4,4,B,1
73,5,4,4,B,1
74,3,4,4,A,1
75,12,4,4,A,1
76,13,4,4,B,1
77,20,4,4,B,1
78,18,4,4,A,1
79,3,4,4,A,1
80,3,4,4,A,1
81,3,5,4,A,1
82,5,5,5,B,1
83,10,5,5,A,1
84,5,5,6,B,1
85,12,5,6,A,1
86,3,5,6,A,1
87,3,5,6,A,1
88,3,5,6,A,1
89,13,5,6,B,1
90,4,5,6,A,1
91,15,5,6,A,1
92,3,5,6,A,1
93,3,5,6,A,1
94,13,5,6,B,1
95,2,5,6,B,1
96,11,5,6,B,1
97,5,5,7,B,1
98,4,5,7,A,1
99,18,5,7,A,1
100,12,5,7,A,1
101,3,6,7,A,1
102,2,6,7,B,1
103,1,6,7,B,1
104,5,6,7,B,1
105,14,6,7,B,1
106,6,6,7,A,1
107,21,6,7,A,1
108,9,6,7,A,1
109,3,6,7,A,1
110,13,6,7,B,1
111,19,6,7,B,1
112,9,6,7,A,1
113,3,6,7,A,1
114,12,6,7,A,1
115,3,6,7,A,1
116,12,6,7,A,1
117,3,6,7,A,1
118,13,6,7,B,1
119,20,6,7,B,1
120,11,6,7,B,1
121,5,6,8,B,1
122,4,6,8,A,1
123,18,6,8,A,1
124,12,7,8,A,1
125,7,7,8,B,1
126,11,7,8,B,1
127,5,7,8,B,1
128,14,7,8,B,1
129,6,7,8,A,1
130,17,7,8,A,1
131,8,7,8,B,1
132,5,7,8,B,1
133,14,7,8,B,1
134,14,7,8,B,1
135,5,7,9,B,1
136,18,7,9,A,1
137,5,7,9,B,1
138,5,7,9,B,1
139,14,7,9,B,1
140,14,7,9,B,1
141,5,7,10,B,1
142,21,7,10,A,1
143,9,7,10,A,1
144,12,7,10,A,1
